leistung,rechtsnorm,zielgruppen,themenfelder,category,sub_category,zielgruppe1,zielgruppe2,themenfeld1,themenfeld2
"Leistungen zur Sicherung des Lebensunterhalts, Erstausstattung für orthopädische Geräte.",§ 24 Abs. 3 Satz 3 Abweichende Erbringung von Leistungen SGB II,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Zuschuss zu Beiträgen zur privaten Krankenversicherung für Bürgergeld-Bezieher.",§ 26 Abs. 1 Zuschüsse zu Beiträgen zur Krankenversicherung und Pflegeversicherung SGB II,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Anteiliger Zuschuss zu den Krankenversicherungsbeiträgen zur Vermeidung von Hilfebedürftigkeit.",§ 26 Abs. 2 Zuschüsse zu Beiträgen zur Krankenversicherung und Pflegeversicherung SGB II,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Zuschuss zu Beiträgen zur privaten Pflegeversicherung für Bürgergeld-Bezieher.",§ 26 Abs. 3 Zuschüsse zu Beiträgen zur Krankenversicherung und Pflegeversicherung SGB II,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Anteiliger Zuschuss zu den Pflegeversicherungsbeiträgen zur Vermeidung von Hilfebedürftigkeit.",§ 26 Abs. 4 Zuschüsse zu Beiträgen zur Krankenversicherung und Pflegeversicherung SGB II,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Kostenübernahme für Schul-/Kitaausflüge.",§ 28 Abs. 2 S.1 Bedarfe für Bildung und Teilhabe SGB II,"['Jugendliche', 'Kinder']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Jugendliche,Kinder,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Kostenübernahme für mehrtägige Klassenfahrten.",§ 28 Abs. 2 S.2 Bedarfe für Bildung und Teilhabe SGB II,"['Jugendliche', 'Kinder']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Jugendliche,Kinder,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Zuschuss zum persönlichen Schulbedarf.",§ 28 Abs. 3 Bedarfe für Bildung und Teilhabe SGB II,"['Jugendliche', 'Kinder']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Jugendliche,Kinder,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Zuschuss zu Beförderungskosten zur Schule.",§ 28 Abs. 4 Bedarfe für Bildung und Teilhabe SGB II,"['Jugendliche', 'Kinder']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Jugendliche,Kinder,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Bedarf für ergänzende Lernförderung.",§ 28 Abs. 5 Bedarfe für Bildung und Teilhabe SGB II,"['Jugendliche', 'Kinder']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Jugendliche,Kinder,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Gutschein/Zuschuss zur Mittagsverpflegung für Schüler und Kindergartenkinder.",§ 28 Abs. 6 Bedarfe für Bildung und Teilhabe SGB II,"['Jugendliche', 'Kinder']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Jugendliche,Kinder,Arbeit,Grundsicherung
"Leistungen zur Sicherung des Lebensunterhalts, Zuschuss zur Teilnahme am sozialen und kulturellen Leben",§ 28 Abs. 7 Bedarfe für Bildung und Teilhabe SGB II,"['Jugendliche', 'Kinder']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB II,Leistungen der Grundsicherung für Arbeitssuchende,Jugendliche,Kinder,Arbeit,Grundsicherung
"Leistungen für Auszubildende, Mehrbedarf für werdende Mütter.",§ 27 Abs. 2 Versicherungsfreie Beschäftigte SGB III,"['Jugendliche', 'Erwerbsalter']",['Bildung & Qualifizierung'],SGB III,Leistungen der Ausbildungsförderung,Jugendliche,Erwerbsalter,Bildung,Qualifizierung
"Leistungen für Auszubildende, Mehrbedarf für Alleinerziehende.",§ 27 Abs. 2 Versicherungsfreie Beschäftigte SGB III,"['Jugendliche', 'Erwerbsalter']",['Bildung & Qualifizierung'],SGB III,Leistungen der Ausbildungsförderung,Jugendliche,Erwerbsalter,Bildung,Qualifizierung
"Leistungen für Auszubildende, Mehrbedarf für medizinisch bedingte kostenaufwendige Ernährung.",§ 27 Abs. 2 Versicherungsfreie Beschäftigte SGB III,"['Jugendliche', 'Erwerbsalter']",['Bildung & Qualifizierung'],SGB III,Leistungen der Ausbildungsförderung,Jugendliche,Erwerbsalter,Bildung,Qualifizierung
"Leistungen für Auszubildende, Mehrbedarf für besondere Umstände.",§ 27 Abs. 2 Versicherungsfreie Beschäftigte SGB III,"['Jugendliche', 'Erwerbsalter']",['Bildung & Qualifizierung'],SGB III,Leistungen der Ausbildungsförderung,Jugendliche,Erwerbsalter,Bildung,Qualifizierung
"Leistungen für Auszubildende, Erstausstattung bei Schwangerschaft und Geburt.",§ 27 Abs. 2 Versicherungsfreie Beschäftigte SGB III,"['Jugendliche', 'Erwerbsalter']",['Bildung & Qualifizierung'],SGB III,Leistungen der Ausbildungsförderung,Jugendliche,Erwerbsalter,Bildung,Qualifizierung
"Härtefalldarlehen für Auszubildende, Mehrbedarf für dezentrale Warmwassererzeugung.",§ 27 Abs. 3 Versicherungsfreie Beschäftigte SGB III,"['Jugendliche', 'Erwerbsalter']",['Bildung & Qualifizierung'],SGB III,Leistungen der Ausbildungsförderung,Jugendliche,Erwerbsalter,Bildung,Qualifizierung
"Härtefalldarlehen für Auszubildende, Bedarf für Unterkunft und Heizung.",§ 27 Abs. 3 Versicherungsfreie Beschäftigte SGB III,"['Jugendliche', 'Erwerbsalter']",['Bildung & Qualifizierung'],SGB III,Leistungen der Ausbildungsförderung,Jugendliche,Erwerbsalter,Bildung,Qualifizierung
"Härtefalldarlehen für Auszubildende, Bedarf für Bildung und Teilhabe.",§ 27 Abs. 3 Versicherungsfreie Beschäftigte SGB III,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB III,Leistungen der Ausbildungsförderung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Härtefalldarlehen für Auszubildende, Beiträge zur Kranken- und Pflegeversicherung.",§ 27 Abs. 3 Versicherungsfreie Beschäftigte SGB III,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB III,Leistungen der Ausbildungsförderung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Aktive Arbeitsförderung, Beratung, Berufsberatung, Weiterbildungsberatung für interessierte Arbeitswillige.",§ 29 Beratungsangebot SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, proaktive Beratung perspektivloser Schulabsolventen.",§ 31a Informationen an junge Menschen ohne Anschlussperspektive; erforderliche Datenerhebung und Datenübermittlung SGB III,['Jugendliche'],['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Jugendliche,,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, diverse Berufsorientierungsmaßnahmen.",§ 33 Berufsorientierung SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Arbeitsvermittlung durch Jobcenter.",§ 35 Vermittlungsangebot SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Potenzialanalyse.",§ 37 Potenzialanalyse und Eingliederungsvereinbarung SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Arbeitsvermittlung durch Jobcenter für Asylsuchende.",§ 39a Frühzeitige Förderung von Ausländerinnen und Ausländern mit Aufenthaltsgestattung SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Potenzialanalyse für Asylsuchende.",§ 39a Frühzeitige Förderung von Ausländerinnen und Ausländern mit Aufenthaltsgestattung SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Aktivierung und berufliche Eingliederung von Arbeitslosen und von Arbeitslosigkeit bedrohten Arbeitssuchenden und Ausbildungssuchenden.",§ 44 Förderung aus dem Vermittlungsbudget SGB III,['Erwerbsalter'],['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, erweiterte Maßnahmen zur Aktivierung und beruflichen Eingliederung.",§ 45 Maßnahmen zur Aktivierung und beruflichen Eingliederung SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, subventionierte Probebeschäftigung für Behinderte.",§ 46 Abs. 1 Probebeschäftigung und Arbeitshilfe für Menschen mit Behinderungen SGB III,['Erwerbsalter'],"['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB III,Arbeitsförderung,Erwerbsalter,,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Ausstattungsunterstützung für behinderte Angestellte.",§ 46 Abs. 2 Probebeschäftigung und Arbeitshilfe für Menschen mit Behinderungen SGB III,['Erwerbsalter'],"['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB III,Arbeitsförderung,Erwerbsalter,,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Förderung von Berufsberatung für Schüler.",§ 48 Berufsorientierungsmaßnahmen SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Berufsorientierungspraktikum für Schüler.",§ 48a Berufsorientierungspraktikum SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Förderung der Berufseinstiegsbegleitung für junge Menschen.",§ 49 Berufseinstiegsbegleitung SGB III,"['Jugendliche', 'Erwerbsalter']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Jugendliche,Erwerbsalter,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Berufsvorbereitende Bildungsmaßnahmen.",§ 51 Berufsvorbereitende Bildungsmaßnahmen SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Vorbereitung auf einen Hauptschulabschlusserwerb.",§ 53 Vorbereitung auf einen Hauptschulabschluss im Rahmen einer berufsvorbereitenden Bildungsmaßnahme SGB III,"['Erwerbsalter', 'Jugendliche']","['Bildung & Qualifizierung', 'Arbeit & Grundsicherung']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Bildung,Qualifizierung
"Aktive Arbeitsförderung, Förderung von Einstiegsqualifizierungen.",§ 54a Einstiegsqualifizierung SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Berufsausbildungsbeihilfe.",§ 56 Berufsausbildungsbeihilfe SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Fahrtkostenerstattung der Berufsausbildungsbeihilfe.",§ 56 Berufsausbildungsbeihilfe SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, flexible erweiterte Leistungen der Berufsausbildungsbeihilfe.",§ 64 Sonstige Aufwendungen SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Berufsausbildungsbeihilfe durch Kinderpauschale.",§ 64 Sonstige Aufwendungen SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Berufsausbildungsbeihilfe für Arbeitslose.",§ 70 Berufsausbildungsbeihilfe für Arbeitslose SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Ausbildungsvergütungszuschüsse für Behinderte.",§ 73 Zuschüsse zur Ausbildungsvergütung für Menschen mit Behinderungen und schwerbehinderte Menschen SGB III,"['Jugendliche', 'Erwerbsalter']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Jugendliche,Erwerbsalter,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Mobilitätszuschuss für junge Auszubildende im ersten Ausbildungsjahr.",§ 73a Mobilitätszuschuss SGB III,"['Jugendliche', 'Erwerbsalter']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Jugendliche,Erwerbsalter,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, assistierte Ausbildung.",§ 74 Assistierte Ausbildung SGB III,"['Jugendliche', 'Erwerbsalter']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Jugendliche,Erwerbsalter,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Ausbildungsbegleitende Hilfen.",§ 75 Begleitende Phase der Assistierten Ausbildung SGB III,"['Jugendliche', 'Erwerbsalter']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Jugendliche,Erwerbsalter,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Unterstützung außerbetriebliche Berufsausbildung.",§ 76 Außerbetriebliche Berufsausbildung SGB III,"['Jugendliche', 'Erwerbsalter']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Jugendliche,Erwerbsalter,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Bildungsgutschein für Arbeitslose.",§ 81 Grundsatz SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Weiterbildungsförderung für Beschäftigte.",§ 82 Förderung beschäftigter Arbeitnehmerinnen und Arbeitnehmer SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Qualifizierungsgeld.",§ 82a Qualifizierungsgeld SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Erstattung von Kosten für auswärtige Unterbringung und für Verpflegung im Rahmen einer Weiterbildung.",§ 86 Kosten für auswärtige Unterbringung und für Verpflegung SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Erstattung von Kosten für Kinderbetreuung im Rahmen einer Weiterbildung.",§ 87 Kinderbetreuungskosten SGB III,"['Erwerbsalter', 'Jugendliche']",['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Weiterbildungsprämie/Weiterbildungsgeld.",§ 87a Weiterbildungsprämie und Weiterbildungsgeld SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Bildung & Qualifizierung']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Eingliederungszuschuss.",§ 88 Eingliederungszuschuss SGB III,['Erwerbsalter'],['Arbeit & Grundsicherung'],SGB III,Arbeitsförderung,Erwerbsalter,,Arbeit,Grundsicherung
"Aktive Arbeitsförderung, Eingliederungszuschuss für Behinderte.",§ 90 Eingliederungszuschuss für Menschen mit Behinderungen und schwerbehinderte Menschen SGB III,"['Erwerbsalter', 'Jugendliche']","['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB III,Arbeitsförderung,Erwerbsalter,Jugendliche,Arbeit,Grundsicherung
